Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.513393,0.515625,0.513393,0.513393,0.023186,117258400
1980-12-15,0.488839,0.488839,0.486607,0.486607,0.021977,43971200
1980-12-16,0.453125,0.453125,0.450893,0.450893,0.020364,26432000
1980-12-17,0.462054,0.464286,0.462054,0.462054,0.020868,21610400
1980-12-18,0.475446,0.477679,0.475446,0.475446,0.021473,18362400
1980-12-19,0.504464,0.506696,0.504464,0.504464,0.022783,12157600
1980-12-22,0.529018,0.531250,0.529018,0.529018,0.023892,9340800
1980-12-23,0.551339,0.553571,0.551339,0.551339,0.024900,11737600
1980-12-24,0.580357,0.582589,0.580357,0.580357,0.026211,12000800
1980-12-26,0.633929,0.636161,0.633929,0.633929,0.028630,13893600
1980-12-29,0.642857,0.645089,0.642857,0.642857,0.029033,23290400
1980-12-30,0.629464,0.629464,0.627232,0.627232,0.028328,17220000
1980-12-31,0.611607,0.611607,0.609375,0.609375,0.027521,8937600
1981-01-02,0.616071,0.620536,0.616071,0.616071,0.027824,5415200
1981-01-05,0.604911,0.604911,0.602679,0.602679,0.027219,8932000
1981-01-06,0.578125,0.578125,0.575893,0.575893,0.026009,11289600
1981-01-07,0.553571,0.553571,0.551339,0.551339,0.024900,13921600
1981-01-08,0.542411,0.542411,0.540179,0.540179,0.024396,9956800
1981-01-09,0.569196,0.571429,0.569196,0.569196,0.025707,5376000
1981-01-12,0.569196,0.569196,0.564732,0.564732,0.025505,5924800
1981-01-13,0.546875,0.546875,0.544643,0.544643,0.024598,5762400
1981-01-14,0.546875,0.549107,0.546875,0.546875,0.024699,3572800
1981-01-15,0.558036,0.562500,0.558036,0.558036,0.025203,3516800
1981-01-16,0.555804,0.555804,0.553571,0.553571,0.025001,3348800
1981-01-19,0.587054,0.589286,0.587054,0.587054,0.026513,10393600
1981-01-20,0.571429,0.571429,0.569196,0.569196,0.025707,7520800
1981-01-21,0.580357,0.584821,0.580357,0.580357,0.026211,3976000
1981-01-22,0.587054,0.591518,0.587054,0.587054,0.026513,8887200
1981-01-23,0.587054,0.589286,0.584821,0.584821,0.026412,2805600
1981-01-26,0.578125,0.578125,0.575893,0.575893,0.026009,6160000
1981-01-27,0.575893,0.575893,0.571429,0.571429,0.025807,5924800
1981-01-28,0.555804,0.555804,0.553571,0.553571,0.025001,7039200
1981-01-29,0.535714,0.535714,0.533482,0.533482,0.024094,10976000
1981-01-30,0.508929,0.508929,0.504464,0.504464,0.022783,11547200
1981-02-02,0.477679,0.477679,0.475446,0.475446,0.021473,5941600
1981-02-03,0.493304,0.495536,0.493304,0.493304,0.022279,4788000
1981-02-04,0.511161,0.513393,0.511161,0.511161,0.023086,6966400
1981-02-05,0.511161,0.515625,0.511161,0.511161,0.023086,1982400
1981-02-06,0.513393,0.515625,0.513393,0.513393,0.023186,3466400
1981-02-09,0.491071,0.491071,0.486607,0.486607,0.021977,4188800
1981-02-10,0.486607,0.488839,0.486607,0.486607,0.021977,4586400
1981-02-11,0.473214,0.473214,0.470982,0.470982,0.021271,3460800
1981-02-12,0.468750,0.468750,0.466518,0.466518,0.021069,3640000
1981-02-13,0.459821,0.459821,0.455357,0.455357,0.020565,2788800
1981-02-17,0.466518,0.468750,0.466518,0.466518,0.021069,3068800
1981-02-18,0.486607,0.491071,0.486607,0.486607,0.021977,4810400
1981-02-19,0.459821,0.459821,0.457589,0.457589,0.020666,5577600
1981-02-20,0.435268,0.435268,0.433036,0.433036,0.019557,6092800
1981-02-23,0.439732,0.441964,0.439732,0.439732,0.019860,3528000
1981-02-24,0.428571,0.428571,0.424107,0.424107,0.019154,4244800
1981-02-25,0.450893,0.453125,0.450893,0.450893,0.020364,4872000
